,"
#
","
Coin
","
Price
","
1h
","
24h
","
7d
","
24h Volume
","
Mkt Cap
"
"


","
153
","






Liquity USD
 
LUSD
 
LUSD



","
$0.977424
","
-0.2%
","
-1.9%
","
-2.6%
","
$79,988,388
","
$655,273,330
"
"


","
154
","






UFO Gaming
 
UFO
 
UFO



","
$0.000025184072
","
-0.2%
","
1.0%
","
107.8%
","
$42,299,956
","
$647,406,759
"
"


","
155
","






Illuvium
 
ILV
 
ILV



","
$999.71
","
-0.1%
","
-1.5%
","
20.5%
","
$53,025,872
","
$634,672,441
"
"


","
156
","






WazirX
 
WRX
 
WRX



","
$1.40
","
-1.2%
","
4.1%
","
2.8%
","
$47,669,870
","
$633,055,503
"
"


","
402
","






IRISnet
 
IRIS
 
IRIS



","
$0.114156
","
-0.8%
","
2.8%
","
-3.4%
","
$15,541,962
","
$130,610,982
"
"


","
403
","






BSCPAD
 
BSCPAD
 
BSCPAD



","
$1.65
","
-0.1%
","
-1.8%
","
9.1%
","
$4,752,727
","
$130,420,138
"
"


","
404
","






Tenset
 
10SET
 
10SET



","
$1.47
","
-0.2%
","
-2.6%
","
-14.3%
","
$1,123,723
","
$130,314,833
"
"


","
405
","






district0x
 
DNT
 
DNT



","
$0.173501
","
-0.5%
","
4.5%
","
-1.3%
","
$13,492,283
","
$130,270,016
"
"


","
406
","






CoinMetro
 
XCM
 
XCM



","
$0.429128
","
-0.2%
","
0.7%
","
5.2%
","
$69,177
","
$129,924,935
"
"


","
407
","






Orca
 
ORCA
 
ORCA



","
$12.42
","
-0.2%
","
-0.6%
","
1.7%
","
$15,457,517
","
$129,686,463
"
"


","
408
","






ApeSwap Finance
 
BANANA
 
BANANA



","
$1.82
","
0.0%
","
-6.7%
","
-4.8%
","
$6,454,504
","
$129,531,199
"
"


","
410
","






DAO Maker
 
DAO
 
DAO



","
$2.50
","
1.8%
","
1.4%
","
-10.4%
","
$3,674,339
","
$129,040,848
"
"


","
 411
","






e-Radix
 
EXRD
 
EXRD



","
$0.115906
","
0.4%
","
-7.0%
","
-5.1%
","
$847,886
","
$129,011,136
"
"


","
409
","






mStable USD
 
MUSD
 
MUSD



","
$1.00
","
?
","
?
","
?
","
?
","
$128,831,385
"
"


","
412
","






Hifi Finance
 
MFT
 
MFT



","
$0.013484452052
","
1.6%
","
5.5%
","
-3.3%
","
$17,309,804
","
$127,131,208
"
"


","
413
","






Ambire AdEx
 
ADX
 
ADX



","
$0.949273
","
-2.3%
","
-18.5%
","
67.3%
","
$92,757,598
","
$126,346,661
"
"


","
414
","






MXC
 
MXC
 
MXC



","
$0.051483963423
","
-0.6%
","
-9.2%
","
12.3%
","
$11,398,277
","
$125,454,228
"
"


","
415
","






Gas
 
GAS
 
GAS



","
$8.98
","
1.1%
","
4.1%
","
-0.9%
","
$19,665,026
","
$125,223,284
"
"


","
416
","






Step Finance
 
STEP
 
STEP



","
$0.845052
","
-1.6%
","
-2.4%
","
-8.2%
","
$8,705,952
","
$124,013,566
"
"


","
417
","






MCDEX
 
MCB
 
MCB



","
$46.26
","
-0.1%
","
-4.0%
","
-18.7%
","
$1,038,149
","
$123,330,520
"
"


","
418
","






Flux
 
FLUX
 
FLUX



","
$0.563616
","
-6.5%
","
15.1%
","
41.3%
","
$3,442,946
","
$122,821,612
"
"


","
419
","






Shabu Shabu
 
KOBE
 
KOBE



","
$3.03
","
0.0%
","
7.6%
","
73.1%
","
$0.000000000000
","
$122,754,811
"
